DisplayDate,Open,High,Low,Close,Volume,OI,Change in price,Condition (Close<open),change is negative,close>open,change is positive,Volume (outlier),change in price (outlier),Volume (after outlier),Change in price (removing O),Act Change in price (removing O)
9/19/2014 0:00,381.507667,385.639519,375.677165,381.002663,3481287,0,0.505004,,,,,1,1,3481287,0.505004,-0.505004
9/18/2014 0:00,380.084473,384.72133,377.697181,381.874943,3283524,0,1.79047,,,,,1,1,3283524,1.79047,1.79047
9/17/2014 0:00,381.966762,384.078597,378.339914,380.451749,3945705,0,1.515013,,,,,1,1,3945705,1.515013,-1.515013
9/16/2014 0:00,377.83491,383.389955,375.952621,378.569461,3913376,0,0.734551,,,,,1,1,3913376,0.734551,0.734551
9/15/2014 0:00,376.96263,380.589478,374.758975,377.880819,3262018,0,0.918189,,,,,1,1,3262018,0.918189,0.918189
9/12/2014 0:00,373.657148,381.599486,372.968506,380.130383,4162710,0,6.473235,,,,,1,1,4162710,6.473235,6.473235
9/11/2014 0:00,374.3917,379.900836,369.20393,372.830778,7064825,0,1.560922,,,,,1,1,7064825,1.560922,-1.560922
9/10/2014 0:00,373.657148,378.110366,370.627123,374.3917,4638837,0,0.734552,,,,,1,1,4638837,0.734552,0.734552
9/9/2014 0:00,367.092094,377.329905,367.000275,372.876687,3554074,0,5.784593,,,,,1,1,3554074,5.784593,5.784593
9/8/2014 0:00,371.223946,374.162152,368.698926,370.718942,3216789,0,0.505004,,,,,1,1,3216789,0.505004,-0.505004
9/5/2014 0:00,372.371683,374.34579,363.14388,368.285741,2753511,0,4.085942,,,,,1,1,2753511,4.085942,-4.085942
9/4/2014 0:00,372.693049,374.575337,365.71481,371.407584,6055962,0,1.285465,,,,,1,1,6055962,1.285465,-1.285465
9/3/2014 0:00,358.461115,375.447617,358.461115,371.407584,12312188,0,12.946469,,,,,1,1,12312188,12.946469,12.946469
9/2/2014 0:00,347.626481,362.225691,345.10146,359.562942,5981547,0,11.936461,,,,,1,1,5981547,11.936461,11.936461
9/1/2014 0:00,339.730052,347.075567,339.592324,345.05555,3107500,0,5.325498,,,,,1,1,3107500,5.325498,5.325498
8/28/2014 0:00,338.031402,342.668258,338.031402,339.546414,4315121,0,1.515012,,,,,1,1,4315121,1.515012,1.515012
8/27/2014 0:00,339.270958,343.035534,335.64411,338.811863,3129970,0,0.459095,,,,,1,1,3129970,0.459095,-0.459095
8/26/2014 0:00,338.16913,344.963732,335.276834,339.362777,2540609,0,1.193647,,,,,1,1,2540609,1.193647,1.193647
8/25/2014 0:00,336.883665,340.097328,335.139106,338.903682,2706905,0,2.020017,,,,,1,1,2706905,2.020017,2.020017
8/22/2014 0:00,339.775962,341.933707,334.496373,335.230925,2814687,0,4.545037,,,,,1,1,2814687,4.545037,-4.545037
8/21/2014 0:00,342.117345,344.320999,338.260949,340.740061,2307848,0,1.377284,,,,,1,1,2307848,1.377284,-1.377284
8/20/2014 0:00,349.37104,354.375172,342.989624,343.907814,4358523,0,5.463226,,,,,1,1,4358523,5.463226,-5.463226
8/19/2014 0:00,344.642365,352.768341,344.642365,346.295106,4986528,0,1.652741,,,,,1,1,4986528,1.652741,1.652741
8/18/2014 0:00,335.047287,345.698283,333.302727,345.514645,2650671,0,10.467358,,,,,1,1,2650671,10.467358,10.467358
8/14/2014 0:00,337.847764,339.684143,333.486365,335.322744,2780421,0,2.52502,,,,,1,1,2780421,2.52502,-2.52502
8/13/2014 0:00,341.382793,347.075567,335.781838,338.444587,4585824,0,2.938206,,,,,1,1,4585824,2.938206,-2.938206
8/12/2014 0:00,348.452851,348.452851,338.628225,339.684143,3387181,0,8.768708,,,,,1,1,3387181,8.768708,-8.768708
8/11/2014 0:00,346.111468,348.911946,341.933707,345.652374,4166913,0,0.459094,,,,,1,1,4166913,0.459094,-0.459094
8/8/2014 0:00,334.083188,344.642365,331.695896,343.40281,5395955,0,9.319622,,,,,1,1,5395955,9.319622,9.319622
8/7/2014 0:00,336.975484,340.602332,333.532274,335.873657,7103871,0,1.101827,,,,,1,1,7103871,1.101827,-1.101827
8/6/2014 0:00,344.320999,346.524653,335.460472,337.572307,5248913,0,6.748692,,,,,1,1,5248913,6.748692,-6.748692
8/5/2014 0:00,348.590579,349.095584,342.943715,344.091452,3093783,0,4.499127,,,,,1,1,3093783,4.499127,-4.499127
8/4/2014 0:00,351.253328,354.971995,342.48462,346.065559,6531410,0,5.187769,,,,,1,1,6531410,5.187769,-5.187769
8/1/2014 0:00,340.189147,355.43109,339.775962,348.957855,8426619,0,8.768708,,,,,1,1,8426619,8.768708,8.768708
7/31/2014 0:00,343.40281,344.504637,339.775962,342.392801,8283452,0,1.010009,,,,,1,1,8283452,1.010009,-1.010009
7/30/2014 0:00,328.71178,343.678266,328.71178,342.622349,11240864,0,13.910569,,,,,1,1,11240864,13.910569,13.910569
7/28/2014 0:00,327.334496,327.793591,322.468093,324.993114,3425122,0,2.341382,,,,,1,1,3425122,2.341382,-2.341382
7/25/2014 0:00,326.416307,328.619961,322.422183,325.773575,3126528,0,0.642732,,,,,1,1,3126528,0.642732,-0.642732
7/24/2014 0:00,325.039023,326.875402,322.422183,325.589937,2056370,0,0.550914,,,,,1,1,2056370,0.550914,0.550914
7/23/2014 0:00,325.176751,327.518134,321.136718,325.360389,5063735,0,0.183638,,,,,1,1,5063735,0.183638,0.183638
7/22/2014 0:00,312.184372,327.609953,312.184372,325.176751,9764963,0,12.992379,,,,,1,1,9764963,12.992379,12.992379
7/21/2014 0:00,309.429804,312.184372,306.767055,309.613442,1516465,0,0.183638,,,,,1,1,1516465,0.183638,0.183638
7/18/2014 0:00,308.144339,311.312093,306.767055,308.741162,1967395,0,0.596823,,,,,1,1,1967395,0.596823,0.596823
7/17/2014 0:00,309.383895,312.000735,308.05252,309.062529,1445570,0,0.321366,,,,,1,1,1445570,0.321366,-0.321366
7/16/2014 0:00,305.757047,309.888899,303.002479,308.695253,4144501,0,2.938206,,,,,1,1,4144501,2.938206,2.938206
7/15/2014 0:00,305.848866,308.09843,302.589294,307.180241,2515494,0,1.331375,,,,,1,1,2515494,1.331375,1.331375
7/14/2014 0:00,305.802957,307.593426,299.880635,304.930677,3561550,0,0.87228,,,,,1,1,3561550,0.87228,-0.87228
7/11/2014 0:00,305.757047,309.337985,303.323845,308.05252,3805544,0,2.295473,,,,,1,1,3805544,2.295473,2.295473
7/10/2014 0:00,315.85713,317.234414,302.08429,306.721146,5953186,0,9.135984,,,,,1,1,5953186,9.135984,-9.135984
7/9/2014 0:00,312.964833,316.591681,310.393903,313.561656,2626259,0,0.596823,,,,,1,1,2626259,0.596823,0.596823
7/8/2014 0:00,316.316224,318.933064,310.164356,312.689377,3985510,0,3.626847,,,,,1,1,3985510,3.626847,-3.626847
7/7/2014 0:00,312.689377,318.519879,311.449821,316.270315,5556875,0,3.580938,,,,,1,1,5556875,3.580938,3.580938
7/4/2014 0:00,313.332109,316.958957,309.84299,311.49573,4176636,0,1.836379,,,,,1,1,4176636,1.836379,-1.836379
7/3/2014 0:00,312.184372,314.204389,308.511615,309.383895,3681985,0,2.800477,,,,,1,1,3681985,2.800477,-2.800477
7/2/2014 0:00,310.072537,312.092553,308.557525,310.485722,2916022,0,0.413185,,,,,1,1,2916022,0.413185,0.413185
7/1/2014 0:00,309.659352,313.791204,307.272059,308.05252,2116458,0,1.606832,,,,,1,1,2116458,1.606832,-1.606832
6/30/2014 0:00,304.838858,310.347994,304.838858,309.337985,4630050,0,4.499127,,,,,1,1,4630050,4.499127,4.499127
6/27/2014 0:00,312.092553,312.092553,302.222018,304.563401,6287948,0,7.529152,,,,,1,1,6287948,7.529152,-7.529152
6/26/2014 0:00,308.05252,313.102562,307.731154,310.761179,4290862,0,2.708659,,,,,1,1,4290862,2.708659,2.708659
6/25/2014 0:00,310.347994,310.990726,304.884767,309.429804,5673918,0,0.91819,,,,,1,1,5673918,0.91819,-0.91819
6/24/2014 0:00,314.93894,317.142595,311.036636,313.056652,3167113,0,1.882288,,,,,1,1,3167113,1.882288,-1.882288
6/23/2014 0:00,309.429804,315.535763,309.429804,313.607566,4394990,0,4.177762,,,,,1,1,4394990,4.177762,4.177762
6/20/2014 0:00,308.603434,312.046644,306.032504,311.036636,2759406,0,2.433202,,,,,1,1,2759406,2.433202,2.433202
6/19/2014 0:00,311.128455,316.591681,308.878891,310.485722,4307787,0,0.642733,,,,,1,1,4307787,0.642733,-0.642733
6/18/2014 0:00,309.429804,316.6835,308.832981,312.41392,5906866,0,2.984116,,,,,1,1,5906866,2.984116,2.984116
6/17/2014 0:00,305.757047,312.36801,305.757047,310.577541,3946045,0,4.820494,,,,,1,1,3946045,4.820494,4.820494
6/16/2014 0:00,305.297952,307.960701,301.120191,305.435681,4758027,0,0.137729,,,,,1,1,4758027,0.137729,0.137729
6/13/2014 0:00,314.388027,315.398035,302.313837,306.032504,6190725,0,8.355523,,,,,1,1,6190725,8.355523,-8.355523
6/12/2014 0:00,322.284455,323.799467,311.863006,314.020751,6284102,0,8.263704,,,,,1,1,6284102,8.263704,-8.263704
6/11/2014 0:00,333.302727,335.139106,321.595813,326.278579,4873863,0,7.024148,,,,,1,1,4873863,7.024148,-7.024148
6/10/2014 0:00,332.889542,336.51639,327.104949,331.971352,8509462,0,0.91819,,,,,1,1,8509462,0.91819,-0.91819
6/9/2014 0:00,329.951336,333.761822,324.579928,327.242677,8547764,0,2.708659,,,,,1,1,8547764,2.708659,-2.708659
6/6/2014 0:00,330.364521,337.113213,322.651731,326.783583,6465082,0,3.580938,,,,,1,1,6465082,3.580938,-3.580938
6/5/2014 0:00,325.039023,330.548159,321.82536,326.14085,7345609,0,1.101827,,,,,1,1,7345609,1.101827,1.101827
6/4/2014 0:00,330.548159,331.649986,321.963089,324.947204,5647351,0,5.600955,,,,,1,1,5647351,5.600955,-5.600955
6/3/2014 0:00,334.863649,336.195023,326.462217,330.731797,5846835,0,4.131852,,,,,1,1,5846835,4.131852,-4.131852
6/2/2014 0:00,316.775319,335.139106,313.332109,332.017262,6206400,0,15.241943,,,,,1,1,6206400,15.241943,15.241943
5/30/2014 0:00,311.266183,318.519879,311.266183,315.948949,4357504,0,4.682766,,,,,1,1,4357504,4.682766,4.682766
5/29/2014 0:00,314.204389,320.310348,308.05252,309.934809,7234338,0,4.26958,,,,,1,1,7234338,4.26958,-4.26958
5/28/2014 0:00,309.888899,315.85713,306.904784,313.653475,5422996,0,3.764576,,,,,1,1,5422996,3.764576,3.764576
5/27/2014 0:00,312.184372,312.184372,305.757047,308.419796,3940154,0,3.764576,,,,,1,1,3940154,3.764576,-3.764576
5/26/2014 0:00,316.821229,320.493986,308.695253,311.725278,6230600,0,5.095951,,,,,1,1,6230600,5.095951,-5.095951
5/23/2014 0:00,306.307961,319.529887,306.307961,315.535763,6473546,0,9.227802,,,,,1,1,6473546,9.227802,9.227802
5/22/2014 0:00,312.092553,312.643467,303.645212,305.389771,3796339,0,6.702782,,,,,1,1,3796339,6.702782,-6.702782
5/21/2014 0:00,319.529887,321.320356,308.236158,311.54164,3426688,0,7.988247,,,,,1,1,3426688,7.988247,-7.988247
5/20/2014 0:00,312.184372,321.274447,310.66936,319.116702,7716082,0,6.93233,,,,,1,1,7716082,6.93233,6.93233
5/19/2014 0:00,305.665228,316.132587,305.114315,310.531632,4936531,0,4.866404,,,,,1,1,4936531,4.866404,4.866404
5/16/2014 0:00,299.329722,317.693508,299.329722,303.691121,13790160,0,4.361399,,,,,1,1,13790160,4.361399,4.361399
5/15/2014 0:00,298.778808,299.329722,292.397392,295.106051,3043188,0,3.672757,,,,,1,1,3043188,3.672757,-3.672757
5/14/2014 0:00,296.116059,298.411532,294.27968,296.758792,2746160,0,0.642733,,,,,1,1,2746160,0.642733,0.642733
5/13/2014 0:00,294.876504,299.100174,288.908273,293.086034,5290041,0,1.79047,,,,,1,1,5290041,1.79047,-1.79047
5/12/2014 0:00,284.776421,293.545129,284.776421,291.571022,2842719,0,6.794601,,,,,1,1,2842719,6.794601,6.794601
5/9/2014 0:00,282.802314,288.127812,282.343219,284.133688,4375852,0,1.331374,,,,,1,1,4375852,1.331374,1.331374
5/8/2014 0:00,286.475071,289.505096,281.884125,282.802314,3641579,0,3.672757,,,,,1,1,3641579,3.672757,-3.672757
5/7/2014 0:00,288.770544,290.147828,280.277293,285.556882,5881938,0,3.213662,,,,,1,1,5881938,3.213662,-3.213662
5/6/2014 0:00,295.427417,296.575154,287.714627,289.13782,3626671,0,6.289597,,,,,1,1,3626671,6.289597,-6.289597
5/5/2014 0:00,298.411532,300.798825,292.535121,294.096043,2481756,0,4.315489,,,,,1,1,2481756,4.315489,-4.315489
5/2/2014 0:00,301.21201,304.425673,295.748783,298.962446,4217395,0,2.249564,,,,,1,1,4217395,2.249564,-2.249564
4/30/2014 0:00,311.54164,315.489854,296.89652,301.21201,5975894,0,10.32963,,,,,1,1,5975894,10.32963,-10.32963
4/29/2014 0:00,313.056652,313.653475,303.599302,307.593426,4399124,0,5.463226,,,,,1,1,4399124,5.463226,-5.463226
4/28/2014 0:00,312.505739,315.352126,307.409788,310.026627,1858182,0,2.479112,,,,,1,1,1858182,2.479112,-2.479112
4/25/2014 0:00,311.49573,317.234414,309.751171,313.745294,4735202,0,2.249564,,,,,1,1,4735202,2.249564,2.249564
4/23/2014 0:00,307.822973,313.561656,307.180241,311.082545,9125576,0,3.259572,,,,,1,1,9125576,3.259572,3.259572
4/22/2014 0:00,308.511615,310.026627,304.471582,307.822973,3608167,0,0.688642,,,,,1,1,3608167,0.688642,-0.688642
4/21/2014 0:00,299.329722,308.878891,298.732899,307.409788,2101270,0,8.080066,,,,,1,1,2101270,8.080066,8.080066
4/17/2014 0:00,298.411532,300.156092,294.738775,298.916537,2505961,0,0.505005,,,,,1,1,2505961,0.505005,0.505005
4/16/2014 0:00,299.329722,303.002479,295.19787,297.217886,2359506,0,2.111836,,,,,1,1,2359506,2.111836,-2.111836
4/15/2014 0:00,294.371499,303.369755,294.371499,298.64108,6342640,0,4.269581,,,,,1,1,6342640,4.269581,4.269581
4/11/2014 0:00,291.984207,297.447434,290.285557,295.886512,5097557,0,3.902305,,,,,1,1,5097557,3.902305,3.902305
4/10/2014 0:00,294.738775,298.181985,290.377376,293.591038,6311897,0,1.147737,,,,,1,1,6311897,1.147737,-1.147737
4/9/2014 0:00,292.121936,294.738775,291.157837,293.912405,3851685,0,1.790469,,,,,1,1,3851685,1.790469,1.790469
4/7/2014 0:00,290.331466,293.545129,288.31145,291.479203,3334921,0,1.147737,,,,,1,1,3334921,1.147737,1.147737
